j ai ans .	i m .
je suis surpris de vous voir .	i m surprised to see you .
je suis surprise de vous voir .	i m surprised to see you .
je suis etonnee de vous voir .	i m surprised to see you .
je suis etonnee de te voir .	i m surprised to see you .
je suis en train de parler au telephone .	i m talking on the phone .
c est moi le patron par ici .	i m the boss around here .
c est moi la patronne par ici .	i m the boss around here .
je songe au projet .	i m thinking of the plan .
je suis fatigue de regarder la tele .	i m tired of watching tv .
je suis trop occupe pour l aider .	i m too busy to help her .
je suis trop occupe pour l aider .	i m too busy to help him .
j ai trop bu pour faire ca .	i m too drunk to do that .
j essaye quelque chose de nouveau .	i m trying something new .
j essaie quelque chose de nouveau .	i m trying something new .
j essaie d economiser de l argent .	i m trying to save money .
je suis tres heureux de vous voir .	i m very glad to see you .
je suis tres fier de mon fils .	i m very proud of my son .
je veux presenter mes excuses .	i m willing to apologize .
je veux faire mes excuses .	i m willing to apologize .
je suis dispose a presenter mes excuses .	i m willing to apologize .
je suis dispose a faire mes excuses .	i m willing to apologize .
je vaux mieux que ca .	i m worth more than this .
c est une enfant apres tout .	she is a child after all .
c est une personne fiable .	she is a reliable person .
on peut compter sur elle .	she is a reliable person .
c est une personne de confiance .	she is a reliable person .
c est une femme magnifique .	she is a wonderful woman .
elle est affreusement mauvaise en cuisine .	she is an appalling cook .
c est une fille obstinee .	she is an obstinate girl .
elle est au travail actuellement .	she is at work right now .
elle se brosse les cheveux .	she is brushing her hair .
elle est sourde a mes conseils .	she is deaf to my advice .
elle est tout pour lui .	she is everything to him .
elle attend un enfant .	she is expecting a child .
elle est fauchee .	she is hard up for money .
elle est juste decorative .	she is just a wallflower .
elle est connue de tout le monde .	she is known to everyone .
elle est hors sujet .	she is missing the point .
elle ne m est pas etrangere .	she is no stranger to me .
elle n a pas peur de mourir .	she is not afraid to die .
elle n est pas elle meme aujourd hui .	she is not herself today .
elle n est pas tout a fait satisfaite .	she is not quite content .
elle n est pas tres riche .	she is not very well off .
c est l une de mes amies .	she is one of my friends .
elle a l habitude de voyager .	she is used to traveling .
elle chanta mieux que lui .	she sang better than him .
elle s assit la en silence .	she sat there in silence .
elle cria de terreur .	she screamed with terror .
elle semble etre vraiment malade .	she seems to be very ill .
elle lui serra la main .	she shook hands with him .
elle lui a serre la main .	she shook hands with him .
elle lui a montre la photo .	she showed him the photo .
elle lui montra la photo .	she showed him the photo .
elle parle dix langues .	she speaks ten languages .
elle a arrete notre dispute .	she stopped our fighting .
elle se tut soudain .	she suddenly fell silent .
elle l a poursuivi en dommages et interets .	she sued him for damages .
c est une femme determinee .	she s a determined woman .
c est une tres belle fille .	she s a really nice girl .
elle est une mere tres avisee .	she s a very wise mother .
elle a peur de la nuit .	she s afraid of the dark .
elle est au travail n est ce pas ?	she s at work isn t she ?
elle est occupee par son travail .	she s busy with her work .
elle est affairee .	she s busy with her work .
elle est bonne a tomber raide .	she s drop dead gorgeous .
elle est bonne a tomber .	she s drop dead gorgeous .
elle est en train de reparer la machine .	she s fixing the machine .
elle n est pas aussi agee que marie .	she s not as old as mary .
c est une fille si adorable !	she s such a lovely girl !
elle nous apprend le francais .	she s teaching us french .
elle nous enseigne le francais .	she s teaching us french .
elle porte un chapeau sympa .	she s wearing a cool hat .
elle porte un chouette chapeau .	she s wearing a nice hat .
elle porte de l ombre a paupiere .	she s wearing eye shadow .
elle porte des talons hauts .	she s wearing high heels .
ils ont peur de la mort .	they are afraid of death .
ils sont tous semblables a moi .	they are all alike to me .
elles sont toutes semblables a moi .	they are all alike to me .
ils sont de notre force .	they are as strong as us .
ils sont aussi forts que nous .	they are as strong as us .
ils mettent le paquet .	they are investing a lot .
ce sont de tres grosses pommes .	they are very big apples .
ils sont tres compatibles .	they are very compatible .
elles sont tres compatibles .	they are very compatible .
ils vont a la guerre .	they re going to the war .
elles vont a la guerre .	they re going to the war .
ils n ont pas toujours raison .	they re not always right .
elles n ont pas toujours raison .	they re not always right .
ils ne me suivent pas .	they re not following me .
ce ne sont pas mes prisonniers .	they re not my prisoners .
ils jouent notre chanson .	they re playing our song .
ils sont en train de jouer notre chanson .	they re playing our song .
ils sont juste derriere vous .	they re right behind you .
ils sont juste derriere toi .	they re right behind you .
elles sont juste derriere vous .	they re right behind you .
elles sont juste derriere toi .	they re right behind you .
elles se trouvent juste derriere vous .	they re right behind you .
elles se trouvent juste derriere toi .	they re right behind you .
ils se trouvent juste derriere vous .	they re right behind you .
ils se trouvent juste derriere toi .	they re right behind you .
ils ont raison bien sur .	they re right of course .
elles ont raison bien sur .	they re right of course .
vous les terrifiez .	they re terrified of you .
tu les terrifies .	they re terrified of you .
elles l adorent .	they re very fond of him .
ils l adorent .	they re very fond of him .
nous sommes tous contents d aider .	we are all happy to help .
nous sommes toutes contentes d aider .	we are all happy to help .
nous nous rendons au magasin .	we are going to the shop .
nous nous rendons a la boutique .	we are going to the shop .
nous demenageons le mois prochain .	we are moving next month .
les jeans sont en rupture de stock .	we are sold out of jeans .
nous sommes sous son commandement .	we are under his command .
nous nous inquietons pour toi .	we are worried about you .
nous sommes inquiets a votre sujet .	we are worried about you .
nous nous reposames sur quelques pierres .	we rested on some stones .
nous sommes un peu occupes ici .	we re a little busy here .
nous sommes a peu pres du meme age .	we re about the same age .
nous en sommes toutes d accord .	we re all agreed on that .
nous en sommes tous d accord .	we re all agreed on that .
notre temps est presque ecoule .	we re almost out of time .
nous nous bercons d illusions .	we re deluding ourselves .
nous nous leurrons .	we re deluding ourselves .
nous nous amusons .	we re enjoying ourselves .
nous sommes assez presses .	we re in kind of a hurry .
nous allons simplement discuter .	we re just going to talk .
on va simplement parler .	we re just going to talk .
nous sommes juste comme des freres .	we re just like brothers .
nous nous en sortons tres bien .	we re managing all right .
il ne nous reste presque plus de temps .	we re nearly out of time .
nous ne faisons rien .	we re not doing anything .
nous n allons nulle part .	we re not going anywhere .
nous n allons pas vous repondre .	we re not going to do it .
nous n y sommes pas prets .	we re not ready for this .
nous n y sommes pas pretes .	we re not ready for this .
nous allons manquer de gaz .	we re running out of gas .
tu as parfaitement raison .	you are absolutely right .
vous avez parfaitement raison .	you are absolutely right .
tu as completement tort .	you are completely wrong .
vous avez entierement raison .	you are entirely correct .
tu es tout pour moi .	you are everything to me .
ce sont des idees que tu te fais .	you are imagining things .
tu es incroyablement naif .	you are incredibly naive .
tu es ma fierte et ma joie .	you are my pride and joy .
tu n as pas tort du tout .	you are not at all wrong .
vous n avez pas tort du tout .	you are not at all wrong .
vous etes vraiment tres bons .	you are really very good .
vous etes tres indelicats .	you are very insensitive .
vous etes tres indelicates .	you are very insensitive .
vous etes tres indelicat .	you are very insensitive .
vous etes tres indelicate .	you are very insensitive .
tu es tres indelicat .	you are very insensitive .
tu es tres indelicate .	you are very insensitive .
vous etes vraiment quelque chose .	you really are something .
tu es vraiment quelque chose .	you really are something .
vous etes un bon journaliste .	you re a good journalist .
tu es un bon journaliste .	you re a good journalist .
tu es une adulte maintenant .	you re a grown woman now .
vous etes un horrible danseur .	you re a terrible dancer .
tu es un danseur horrible .	you re a terrible dancer .
vous etes un horrible individu .	you re a terrible person .
tu es un horrible individu .	you re a terrible person .
vous etes une personne execrable .	you re a terrible person .
tu es une personne execrable .	you re a terrible person .
tu es une femme formidable !	you re a wonderful woman .
vous etes une femme formidable !	you re a wonderful woman .
vous etes seule n est ce pas ?	you re alone aren t you ?
vous etes seul n est ce pas ?	you re alone aren t you ?
vous etes seules n est ce pas ?	you re alone aren t you ?
vous etes seuls n est ce pas ?	you re alone aren t you ?
tu es seule n est ce pas ?	you re alone aren t you ?
tu es seul n est ce pas ?	you re alone aren t you ?
vous etes toujours en train de me tarabuster .	you re always nagging me .
tu es toujours en train de me tarabuster .	you re always nagging me .
tu me fais de l ombre .	you re blocking my light .
vous me faites de l ombre .	you re blocking my light .
tu desobeis aux ordres .	you re disobeying orders .
vous desobeissez aux ordres .	you re disobeying orders .
vous faites tout ce que vous pouvez .	you re doing all you can .
tu fais tout ce que tu peux .	you re doing all you can .
tu est libre de partir maintenant .	you re free to leave now .
vous etes plein de surprises .	you re full of surprises .
vous etes pleine de surprises .	you re full of surprises .
tu es dedans jusqu au cou .	you re in over your head .
tu es en grave danger .	you re in serious danger .
vous etes en grave danger .	you re in serious danger .
vous plaisantez bien sur .	you re joking of course .
tu plaisantes bien sur .	you re joking of course .
tu as l air tres bien .	you re looking very well .
vous avez l air tres bien .	you re looking very well .
vous mentez n est ce pas ?	you re lying aren t you ?
tu mens n est ce pas ?	you re lying aren t you ?
tu passes a cote .	you re missing the point .
vous passez a cote .	you re missing the point .
tu ne saisis pas .	you re missing the point .
vous ne saisissez pas .	you re missing the point .
vous n etes pas de mes amis .	you re no friend of mine .
tu n es pas de mes amis .	you re no friend of mine .
tu n es pas millionnaire .	you re not a millionaire .
vous n etes pas millionnaire .	you re not a millionaire .
tu n es plus seul .	you re not alone anymore .
tu n es plus seule .	you re not alone anymore .
vous n etes plus seules .	you re not alone anymore .
vous n etes plus seuls .	you re not alone anymore .
vous n etes plus seul .	you re not alone anymore .
vous n etes plus seule .	you re not alone anymore .
tu ne m impressionne pas .	you re not impressing me .
tu n es pas ma copine .	you re not my girlfriend .
tu n es pas si vieux tom .	you re not that old tom .
vous n etes pas si vieux tom .	you re not that old tom .
vous n etes plus jeunes .	you re not young anymore .
tu es sur le mauvais bateau .	you re on the wrong ship .
vous etes sur le mauvais bateau .	you re on the wrong ship .
vous etes difficile n est ce pas ?	you re picky aren t you ?
tu es difficile pas vrai ?	you re picky aren t you ?
tu es vraiment incroyable .	you re really incredible .
vous etes vraiment incroyables .	you re really incredible .
tu fous en l air l atmosphere .	you re spoiling the mood .
vous gachez l atmosphere .	you re spoiling the mood .
tu gaches l atmosphere .	you re spoiling the mood .
quelle commere tu fais .	you re such a tattletale .
quelle commere vous faites .	you re such a tattletale .
c est pour toi que je suis venu .	you re the reason i came .
c est pour vous que je suis venu .	you re the reason i came .
c est pour toi que je suis venue .	you re the reason i came .
c est pour vous que je suis venue .	you re the reason i came .
tu deformes mes paroles .	you re twisting my words .
vous deformez mes paroles .	you re twisting my words .
tu perds ton temps .	you re wasting your time .
il est un danger pour la societe .	he is a danger to society .
il a un peu plus de quarante ans .	he is a little over forty .
il est methodique .	he is a methodical person .
il est ecrivain et poete .	he is a novelist and poet .
il est dependant a la cocaine .	he is addicted to cocaine .
il est toujours dans les nuages .	he is always day dreaming .
il revasse toujours .	he is always day dreaming .
c est un ecologiste .	he is an environmentalist .
il est tout sauf honnete .	he is anything but honest .
il est capable de le faire .	he is capable of doing it .
soit il est saoul soit il est fou .	he is either drunk or mad .
il est engage dans l enseignement .	he is engaged in teaching .
il est beau et intelligent .	he is handsome and clever .
il tend a etre paresseux .	he is inclined to be lazy .
il a tendance a se mettre en colere .	he is inclined to get mad .
il est interesse par la musique .	he is interested in music .
il est comme un pere pour moi .	he is like a father to me .
il est plus intelligent que moi .	he is more clever than me .
il est plus malin que moi .	he is more clever than me .
ce n est pas un eleve ordinaire .	he is no ordinary student .
il est assez vieux pour boire .	he is old enough to drink .
il est assez age pour boire .	he is old enough to drink .
c est l un de mes voisins .	he is one of my neighbors .
c est un de mes voisins .	he is one of my neighbors .
il joue dans sa chambre .	he is playing in his room .
il sera bientot pere .	he is soon to be a father .
il a encore des doutes .	he is still having doubts .
il est fatigue a cause du surmenage .	he is tired from overwork .
il est incapable d acheter une voiture .	he is unable to buy a car .
il a tres peur des chiens .	he is very afraid of dogs .
il est tres amical avec nous .	he is very friendly to us .
il marche tres lentement .	he is walking very slowly .
il s assit au bord du ruisseau .	he sat next to the stream .
il semble s interesser a moi .	he seems interested in me .
il a l air d avoir ete malade .	he seems to have been ill .
il semble avoir ete malade .	he seems to have been ill .
il vient rarement me voir .	he seldom comes to see me .
il vient rarement voire pas du tout .	he seldom if ever comes .
il a partage ma joie .	he shared in my happiness .
il exhiba sa nouvelle voiture .	he showed off his new car .
il haussa les epaules .	he shrugged his shoulders .
il vendit tout ce qu il possedait .	he sold all that he owned .
il a vendu tout ce qu il possedait .	he sold all that he owned .
il parlait en chuchotant .	he spoke under his breath .
il y a sejourne quelque temps .	he stayed there some time .
il n a toujours pas repondu .	he still hasn t responded .
il se tenait contre le mur .	he stood against the wall .
il s est eloigne du groupe .	he strayed from his group .
il a etudie pour etre medecin .	he studied to be a doctor .
il etudia afin de devenir medecin .	he studied to be a doctor .
il surprit son opposant .	he surprised his opponent .
il nage mieux que moi .	he swims better than i do .
c est un etudiant de l universite .	he s a university student .
c est un tres bon musicien .	he s a very fine musician .
c est un musicien de grande qualite .	he s a very fine musician .
il a accepte de faire le travail .	he s agreed to do the job .
il est presque aussi grand que moi .	he s almost as tall as me .
il court toujours apres les filles .	he s always chasing girls .
il est fort comme un cheval .	he s as strong as a horse .
il est venu pour causer des ennuis .	he s come to make trouble .
il vient de sortir de l universite .	he s fresh out of college .
il est frais emoulu de l ecole .	he s fresh out of college .
il est frais emoulu de l universite .	he s fresh out of college .
il va le regretter .	he s going to regret this .
il est bon dans ce qu il fait .	he s good at what he does .
il se cache dans le placard .	he s hiding in the closet .
il se cache dans la penderie .	he s hiding in the closet .
il est comme un frere pour moi .	he s like a brother to me .
il n enfreint pas la loi .	he s not breaking the law .
il n est pas plus fort que moi .	he s not stronger than me .
il est vraiment en bonne forme .	he s really in good shape .
il est candidat au congres .	he s running for congress .
il a peur de me parler .	he s scared to talk to me .
il dort comme un bebe .	he s sleeping like a baby .
il adore la lecture .	he s very fond of reading .
il adore marcher .	he s very fond of walking .
il est jeune et attirant .	he s young and attractive .
je suis etudiant .	i am a university student .
je suis etudiant a l universite .	i am a university student .
j agis pour mon pere .	i am acting for my father .
je crains qu il ne soit trop tard .	i am afraid it s too late .
je m ennuie tellement .	i am bored out of my mind .
je suis ravi d etre ici .	i am delighted to be here .
je suis enchante d etre ici .	i am delighted to be here .
je suis enchantee d etre ici .	i am delighted to be here .
je me sens triste a cause de ca .	i am feeling sad about it .
je suis pour toujours votre debiteur .	i am forever in your debt .
je suis pour toujours ton debiteur .	i am forever in your debt .
je vais avoir quatorze ans .	i am going to be fourteen .
je vais m habiller .	i am going to get dressed .
je pends mes chemises .	i am hanging up my shirts .
je suis sienne et elle est mienne .	i am hers and she is mine .
je suis sien et elle est mienne .	i am hers and she is mine .
j habite avec mon oncle .	i am living with my uncle .
je ne suis pas matinal .	i am not a morning person .
je ne m implique pas .	i am not getting involved .
je ne vais pas m impliquer .	i am not getting involved .
je ne suis pas de garde demain .	i am not on call tomorrow .
je suis a present dans un vieux chateau .	i am now in an old castle .
je suis en vacances cette semaine .	i am on holiday this week .
je suis en conge cette semaine .	i am on holiday this week .
je suis pret a aller avec vous .	i am ready to go with you .
desole de ce que j ai fait .	i am sorry for what i did .
je suis desolee de te deranger .	i am sorry to trouble you .
j en ai termine avec mon travail .	i am through with my work .
j en ai fini avec mon travail .	i am through with my work .
je me suis habitue a vivre seul .	i am used to living alone .
je suis habitue a vivre seul .	i am used to living alone .
je suis habituee a vivre seule .	i am used to living alone .
j emploie un nouvel ordinateur .	i am using a new computer .
je suis tres occupe ces jours ci .	i am very busy these days .
je suis tres heureux de vous voir .	i am very glad to see you .
je suis tres heureux de te voir .	i am very glad to see you .
je suis en train d arroser les fleurs .	i am watering the flowers .
j ai commis une faute d inattention .	i made a careless mistake .
j ai fait ces boites moi meme .	i made these boxes myself .
j ai fait ces boites par moi meme .	i made these boxes myself .
j ai marie ma fille .	i married off my daughter .
il se peut qu il me faille partir .	i may actually have to go .
j ai pu commettre une erreur .	i may have made a mistake .
peut etre me suis je trompe .	i may have made a mistake .
vous m avez tellement manque les mecs !	i missed you guys so much !
j ai du rever .	i must have been dreaming .
j ai du attraper froid .	i must have caught a cold .
j ai du comprendre de travers .	i must have misunderstood .
j ai du mal comprendre .	i must have misunderstood .
il me faut vous dire quelque chose .	i must tell you something .
il me faut te dire quelque chose .	i must tell you something .
je suis un inconditionnel de l opera allemand .	i m a fan of german opera .
je suis une inconditionnelle de l opera allemand .	i m a fan of german opera .
je suis un lyceen .	i m a high school student .
je suis un peu decu .	i m a little disappointed .
je suis un peu decue .	i m a little disappointed .
je suis quelque peu decu .	i m a little disappointed .
je suis quelque peu decue .	i m a little disappointed .
je suis assez bon etudiant .	i m a pretty good student .
je suis assez bonne etudiante .	i m a pretty good student .
je suis assez bon nageur .	i m a pretty good swimmer .
je suis assez bonne nageuse .	i m a pretty good swimmer .
je suis une personne assez heureuse .	i m a pretty happy person .
je crains de ne pas suivre .	i m afraid i don t follow .
je crains qu il ne puisse venir .	i m afraid he cannot come .
j ai peur des tremblements de terre .	i m afraid of earthquakes .
je suis presque aussi grand que tom .	i m almost as tall as tom .
je suis toujours sous pression .	i m always under pressure .
je suis aussi curieuse que vous .	i m as curious as you are .
je suis aussi curieuse que toi .	i m as curious as you are .
je suis aussi curieux que vous .	i m as curious as you are .
je suis aussi curieux que toi .	i m as curious as you are .
je suis aussi choque que vous .	i m as shocked as you are .
je suis aussi choquee que vous .	i m as shocked as you are .
je suis aussi choque que toi .	i m as shocked as you are .
je suis aussi choquee que toi .	i m as shocked as you are .
je demande ce que tu en penses .	i m asking what you think .
je demande ce que vous en pensez .	i m asking what you think .
pour moi c est la fin des haricots .	i m at the end of my rope .
je joins trois fichiers .	i m attaching three files .
je commence a la detester .	i m beginning to hate her .
je suis honnete avec vous .	i m being honest with you .
je suis honnete avec toi .	i m being honest with you .
je suis paye pour faire ca .	i m being paid to do this .
je suis payee pour faire ca .	i m being paid to do this .
on me paie pour faire ca .	i m being paid to do this .
je ramene une pizza a la maison .	i m bringing home a pizza .
je ramene une pizza chez moi .	i m bringing home a pizza .
je suis occupe a mes devoirs .	i m busy with my homework .
je viens te chercher .	i m coming to pick you up .
je reflechis a demissionner .	i m considering resigning .
je songe a demissionner .	i m considering resigning .
je compte sur votre aide .	i m counting on your help .
je compte sur ton aide .	i m counting on your help .
je raccourcis mon voyage .	i m cutting my trip short .
je suis ravi de te rencontrer .	i m delighted to meet you .
je suis enchante de vous rencontrer .	i m delighted to meet you .
je suis ravi de vous rencontrer .	i m delighted to meet you .
je suis ravie de vous rencontrer .	i m delighted to meet you .
je suis ravie de te rencontrer .	i m delighted to meet you .
je suis enchantee de te rencontrer .	i m delighted to meet you .
je suis enchante de te rencontrer .	i m delighted to meet you .
je suis enchantee de vous rencontrer .	i m delighted to meet you .
je fais le bon choix .	i m doing the right thing .
j ai pris la bonne decision .	i m doing the right thing .
j en ai fini de t ecouter .	i m done listening to you .
j en ai fini de vous ecouter .	i m done listening to you .
j en ai fini avec tout cela .	i m done with all of that .
je suis assez occupe en realite .	i m fairly busy actually .
je me sens un peu fatigue .	i m feeling kind of tired .
je me sens plutot fatigue .	i m feeling sort of tired .
je me sens plutot fatiguee .	i m feeling sort of tired .
je finis mes devoirs .	i m finishing my homework .
je rassemble des informations .	i m gathering information .
j ai une mauvaise impression .	i m getting a bad feeling .
ca me pompe .	i m getting tired of this .
ca me fatigue .	i m getting tired of this .
je suis content d avoir pu aider .	i m glad i could help out .
je me rejouis de te contenter .	i m glad i make you happy .
je me rejouis de vous contenter .	i m glad i make you happy .
je suis content que tom soit la .	i m glad that tom is here .
je suis heureux que vous veniez .	i m glad that you ll come .
je me rejouis que vous soyez ici .	i m glad that you re here .
je me rejouis que tu sois ici .	i m glad that you re here .
je suis content de vous revoir .	i m glad to see you again .
je me rejouis de te revoir .	i m glad to see you again .
je me rejouis de vous revoir .	i m glad to see you again .
je me rejouis que vous en preniez conscience .	i m glad you realize that .
je me rejouis que tu en prennes conscience .	i m glad you realize that .
je me rejouis que vous vous portiez bien .	i m glad you re all right .
je me rejouis que tu te portes bien .	i m glad you re all right .
je me rejouis que vous soyez mon amie .	i m glad you re my friend .
je me rejouis que vous soyez mon ami .	i m glad you re my friend .
je me rejouis que tu sois mon amie .	i m glad you re my friend .
je me rejouis que tu sois mon ami .	i m glad you re my friend .
je retourne a la fac .	i m going back to college .
je retourne en fac .	i m going back to college .
je sors prendre un verre .	i m going out for a drink .
je sors un moment .	i m going out for a while .
je vais etre enseignant .	i m going to be a teacher .
je vais etre enseignante .	i m going to be a teacher .
ca va aller .	i m going to be all right .
je vais bientot etre partie .	i m going to be gone soon .
je vais bientot etre parti .	i m going to be gone soon .
je vais etre a l exterieur aujourd hui .	i m going to be out today .
je vais etre ici .	i m going to be over here .
je vais faire un feu .	i m going to build a fire .
je vais confectionner un bucher .	i m going to build a fire .
je vais cuisiner pour vous .	i m going to cook for you .
je vais cuisiner pour toi .	i m going to cook for you .
je vais conduire par mes propres moyens .	i m going to drive myself .
je vais a l hopital .	i m going to the hospital .
je me fais a nouveau pousser la barbe .	i m growing a beard again .
je suis heureux de te voir ici .	i m happy to see you here .
je suis heureux de vous voir ici .	i m happy to see you here .
je suis en route pour retourner en ville .	i m headed back into town .
je suis responsable de la securite .	i m in charge of security .
je suis responsable des courses .	i m in charge of shopping .
je ne fais qu obeir aux ordres .	i m just following orders .
j essaie simplement de m en sortir .	i m just trying to get by .
je la ferme .	i m keeping my mouth shut .
j apprends a conduire .	i m learning how to drive .
je cherche un pull over .	i m looking for a sweater .
je cherche un chandail .	i m looking for a sweater .
je cherche des piles .	i m looking for batteries .
je cherche mon appareil photo .	i m looking for my camera .
j attends cela avec impatience .	i m looking forward to it .
je me specialise en sociologie .	i m majoring in sociology .
je suis bien plus jeune que vous .	i m much younger than you .
je suis beaucoup plus jeune que vous .	i m much younger than you .
je suis beaucoup plus jeune que toi .	i m much younger than you .
je ne gobe pas ton histoire .	i m not buying your story .
je ne gobe pas votre histoire .	i m not buying your story .
je n en suis pas convaincu .	i m not convinced of that .
je n en suis pas convaincue .	i m not convinced of that .
je ne suis pas tout a fait surpris .	i m not exactly surprised .
je ne suis pas tout a fait surprise .	i m not exactly surprised .
je n en ai pas fini avec lui .	i m not finished with him .
je n en ai pas fini avec toi .	i m not finished with you .
je n en ai pas fini avec vous .	i m not finished with you .
je ne vais pas appeler tom .	i m not going to call tom .
je ne vais pas manger ceci .	i m not going to eat this .
je ne vais pas vous aider .	i m not going to help you .
je ne vais pas t aider .	i m not going to help you .
je ne vais pas te faire de mal .	i m not going to hurt you .
je ne vais pas vous faire de mal .	i m not going to hurt you .
je ne vais pas m evanouir .	i m not going to pass out .
je ne vais pas y toucher .	i m not going to touch it .
mon travail ne me plait pas .	i m not happy with my job .
je ne suis pas en forme maintenant .	i m not in good shape now .
je n apprends rien .	i m not learning anything .
je ne suis pas comme les autres gens .	i m not like other people .
je ne suis plus ainsi .	i m not like that anymore .
je ne suis dans le camp de personne .	i m not on anybody s side .
je ne prevois rien .	i m not planning anything .
je ne suis pas en mal d argent .	i m not pressed for money .
je ne crains personne .	i m not scared of anybody .
je ne suis pas tellement bon en tennis .	i m not so good at tennis .
je ne suis pas suppose boire .	i m not supposed to drink .
je ne suis pas supposee boire .	i m not supposed to drink .
je ne suis pas sur de comprendre .	i m not sure i understand .
je ne suis pas sure de comprendre .	i m not sure i understand .
je ne vais pas vous le repeter .	i m not telling you again .
je ne vais pas te le repeter .	i m not telling you again .
je ne suis pas ce genre de fille .	i m not that kind of girl .
je ne suis pas cette sorte de fille .	i m not that kind of girl .
je n y pense pas .	i m not thinking about it .
je n ai pas soif pour le moment .	i m not thirsty right now .
je ne suis pas habitue a cette chaleur .	i m not used to this heat .
je ne suis pas habituee a cette chaleur .	i m not used to this heat .
je ne suis pas si occupe en general .	i m not usually this busy .
je ne suis plus ce que j etais .	i m not what i used to be .
je ne m inquiete pas pour tom .	i m not worried about tom .
je ne suis pas inquiet pour tom .	i m not worried about tom .
je n ecris pas a ton sujet .	i m not writing about you .
je n ecris pas a votre sujet .	i m not writing about you .
je ne suis souvent qu a moitie reveille .	i m often only half awake .
je ne suis souvent qu a moitie reveillee .	i m often only half awake .
je suis en train de lire le journal .	i m reading the newspaper .
je suis vraiment occupe a l instant .	i m really busy right now .
je suis vraiment occupee a l instant .	i m really busy right now .
je suis soulage d entendre cela .	i m relieved to hear that .
je vous releve de votre service .	i m relieving you of duty .
je suis a court d energie .	i m running out of energy .
je suis tellement perplexe en ce moment .	i m so confused right now .
je suis si heureux pour toi tom .	i m so happy for you tom .
je suis si heureux pour vous tom .	i m so happy for you tom .
je suis si heureuse pour toi tom .	i m so happy for you tom .
je suis desole de t avoir hurle dessus .	i m sorry i yelled at you .
je suis desolee de t avoir hurle dessus .	i m sorry i yelled at you .
je suis desole de vous avoir hurle dessus .	i m sorry i yelled at you .
je suis desolee de vous avoir hurle dessus .	i m sorry i yelled at you .
je suis desole de vous avoir crie apres .	i m sorry i yelled at you .
je suis desolee de vous avoir crie apres .	i m sorry i yelled at you .
je suis desole de t avoir crie apres .	i m sorry i yelled at you .
je suis desolee de t avoir crie apres .	i m sorry i yelled at you .
je suis desole a propos d hier .	i m sorry about yesterday .
je suis desolee a propos d hier .	i m sorry about yesterday .
je suis desole pour votre perte .	i m sorry about your loss .
je suis desolee pour votre perte .	i m sorry about your loss .
desole si je vous ai fait peur .	i m sorry if i scared you .
je suis desolee de t avoir fait peur .	i m sorry if i scared you .
je suis desole je ne gobe pas ca .	i m sorry i don t buy it .
je suis desolee je ne gobe pas ca .	i m sorry i don t buy it .
je fais encore mon marche .	i m still shopping around .
j etudie toujours le francais .	i m still studying french .
j etudie l art dramatique du kabuki .	i m studying kabuki drama .
je suis certain que tom souffre .	i m sure tom is suffering .
je suis certaine que tom souffre .	i m sure tom is suffering .
je suis sur que tom etait implique .	i m sure tom was involved .
je suis sure que tom etait implique .	i m sure tom was involved .
je suis sur que tom a ete implique .	i m sure tom was involved .
je suis sure que tom a ete implique .	i m sure tom was involved .
je suis certain qu il approuverait .	i m sure he would approve .
je suis sur que tu es tres occupee .	i m sure you re very busy .
je suis nul en langues .	i m terrible at languages .
je suis trop pauvre pour l epouser .	i m too poor to marry her .
je suis trop fatigue pour etudier .	i m too tired to do study .
j essaie de te parler .	i m trying to talk to you .
j essaie de vous parler .	i m trying to talk to you .
je tente de te parler .	i m trying to talk to you .
je tente de vous parler .	i m trying to talk to you .
je ne suis pas si occupe d habitude .	i m usually not this busy .
je suis tres heureux de vous rencontrer .	i m very glad to meet you .
je suis tres heureux d etre ici .	i m very happy to be here .
je suis tres heureux de te voir .	i m very happy to see you .
je suis tres triste d entendre cela .	i m very sad to hear that .
je suis tres triste d entendre ca .	i m very sad to hear that .
j attends mon amie .	i m waiting for my friend .
j attends ma mere .	i m waiting for my mother .
j attends ton aide .	i m waiting for your help .
c est vraiment une bonne fille .	she is a really good girl .
c est une personne tres sympa .	she is a very nice person .
elle est une conductrice lamentable .	she is a very poor driver .
elle cherche un meilleur emploi .	she is after a better job .
on s amuse avec elle .	she is amusing to be with .
elle est en retard sur son loyer .	she is behind in her rent .
elle est coupable d un vol .	she is guilty of stealing .
elle est de nouveau elle meme .	she is her old self again .
elle est au lit enrhumee .	she is in bed with a cold .
elle est gentille avec les personnes agees .	she is kind to old people .
elle tricote un pull .	she is knitting a sweater .
elle tricote un chandail .	she is knitting a sweater .
elle apprend a jouer du piano .	she is learning the piano .
c est une chanteuse pas banale .	she is no ordinary singer .
ce n est pas une chanteuse ordinaire .	she is no ordinary singer .
c est vraiment une gentille fille .	she is really a nice girl .
elle nous apprend le francais .	she is teaching us french .
elle nous enseigne le francais .	she is teaching us french .
elle est tres en colere apres moi .	she is very angry with me .
elle n a pas peur de la mort .	she isn t afraid of death .
elle n est pas apte pour le poste .	she isn t fit for the job .
elle lui dit quelque chose .	she said something to him .
elle lui a dit quelque chose .	she said something to him .
elle nous a servi un bon repas .	she served us a good meal .
elle m a montre sa nouvelle voiture .	she showed me her new car .
elle me montra sa nouvelle voiture .	she showed me her new car .
elle prend une douche chaque matin .	she showers every morning .
